,method,PCC,PCC_value,data
38,mutatex,PCC_7,0.34,random subset
39,rasp,PCC_7,0.23,random subset
40,rosetta,PCC_7,0.33,random subset
41,thermompnn,PCC_7,0.25,random subset
42,ddgun_3d,PCC_8,0.11,random subset
43,ddgun_seq,PCC_8,0.15,random subset
44,mutatex,PCC_8,0.25,random subset
45,rasp,PCC_8,0.19,random subset
46,rosetta,PCC_8,0.23,random subset
47,thermompnn,PCC_8,0.25,random subset
48,ddgun_3d,PCC_9,0.05,random subset
49,ddgun_seq,PCC_9,0.03,random subset
50,mutatex,PCC_9,0.29,random subset
51,rasp,PCC_9,0.19,random subset
52,rosetta,PCC_9,0.22,random subset
53,thermompnn,PCC_9,0.43,random subset
54,ddgun_3d,PCC_10,0.14,random subset
55,ddgun_seq,PCC_10,0.09,random subset
56,mutatex,PCC_10,0.39,random subset
57,rasp,PCC_10,0.35,random subset
58,rosetta,PCC_10,0.4,random subset
59,thermompnn,PCC_10,0.44,random subset
