,method,PCC,SCC,MAE,PCC_limited,SCC_limited,MAE_limited
16,rasp_ddgun_3d,0.437035870109148,0.45621952063942395,1.0669526155221327,0.2660125045950925,0.3383489232956796,1.2919498841059145
17,rasp_thermompnn,0.48582204615025637,0.5349419499274097,0.989627911039619,0.34121812074324936,0.4146862467991101,1.2133471778026843
18,ddgun_seq_ddgun_3d,0.35568682158444553,0.3557970744373753,1.2014166666666666,0.1440163893892161,0.17531791776934014,1.4378343373493978
19,ddgun_seq_thermompnn,0.44554638834951504,0.502774688612793,1.038385702614379,0.2568878017499503,0.36008945199220455,1.2567365963855421
20,ddgun_3d_thermompnn,0.48134596627988957,0.5292272196853008,1.0095775326797387,0.28696935269215806,0.3893773271964273,1.210980873493976
21,mutatex_rosetta_rasp,0.48161321934571916,0.5057905630961568,1.0897968788006904,0.3498694842633125,0.37281848568231046,1.3778622914366996
22,mutatex_rosetta_ddgun_seq,0.4936847230054608,0.5100992470983365,1.0389752314814813,0.3394644049516059,0.36858511113355885,1.306471777108434
23,mutatex_rosetta_ddgun_3d,0.4973540804279693,0.5155919527735656,1.0113936383442266,0.34506012132974617,0.3740008267439724,1.2619536847389559
24,mutatex_rosetta_thermompnn,0.5098989054891169,0.5471236856986087,0.9891542919389977,0.37112180601409445,0.4055334742649137,1.2585134638554218
25,mutatex_rasp_ddgun_seq,0.48071124727832976,0.4997399670772029,1.0461706788518201,0.3286182567091965,0.37154662052972265,1.3027603545239634
26,mutatex_rasp_ddgun_3d,0.4840444234801238,0.5041378590881761,1.0210480885174755,0.3349785602681589,0.37925618601569433,1.2620871206832647
27,mutatex_rasp_thermompnn,0.5019239381353046,0.5412220576309587,0.9910500128568,0.366793151326651,0.41481840140952464,1.248524232759695
28,mutatex_ddgun_seq_ddgun_3d,0.46360616074986455,0.4828136635707174,1.0577315495642703,0.2900565347284529,0.3397435971371019,1.2984998192771084
29,mutatex_ddgun_seq_thermompnn,0.504896135562001,0.5411808897731751,0.9759362554466232,0.3499621748063298,0.40724389328194477,1.209259859437751
30,mutatex_ddgun_3d_thermompnn,0.515891785581011,0.552944246511789,0.9594934368191722,0.3596759715662917,0.41866842920995223,1.1842744578313253
31,rosetta_rasp_ddgun_seq,0.4623961092526319,0.4848890847541688,1.0549755076103866,0.29808384731770704,0.34981981230883535,1.3164260923739926
32,rosetta_rasp_ddgun_3d,0.46561745664707926,0.487478158741773,1.0308123753698168,0.3051186340969441,0.35368951573364227,1.2699949425277257
33,rosetta_rasp_thermompnn,0.4882806632971584,0.5259452384772069,0.9937477533816373,0.34332743219981976,0.3945602145850187,1.2438361716738051
34,rosetta_ddgun_seq_ddgun_3d,0.4438709805703812,0.45719368062311533,1.0691587472766884,0.2532653673420385,0.30422764440132033,1.3250763353413655
35,rosetta_ddgun_seq_thermompnn,0.49096621628136505,0.5216039652816739,0.9832708714596949,0.31726833765350787,0.3757232636948472,1.2261406927710843
36,rosetta_ddgun_3d_thermompnn,0.5017914587639749,0.5334095249101586,0.9639084150326798,0.328569731740394,0.38878689450151066,1.1929161345381527
37,rasp_ddgun_seq_ddgun_3d,0.41747236764169204,0.43904656012975174,1.1018502140962236,0.229070910212129,0.30576084249032315,1.3423934266321818
38,rasp_ddgun_seq_thermompnn,0.4694377714989562,0.5118061617243368,1.0101772740896957,0.29844413362259026,0.3849867116161774,1.2395475436338106
39,rasp_ddgun_3d_thermompnn,0.48030818357461424,0.5215359337045453,0.9954622180260165,0.3104227144719174,0.39665353705544415,1.2092248054671553
40,ddgun_seq_ddgun_3d_thermompnn,0.4309903402151375,0.4700843169280706,1.0653055555555555,0.22751079976144167,0.31859937748033984,1.2842151606425702
41,mutatex_rosetta_rasp_ddgun_seq,0.49010026685917213,0.5061472642510357,1.0326151492521778,0.33892691096942734,0.3716674616561191,1.2966005981722823
42,mutatex_rosetta_rasp_ddgun_3d,0.49091457999452237,0.5090836683644262,1.0174222772490924,0.34211759481222875,0.3748058877081604,1.2681295022979322
43,mutatex_rosetta_rasp_thermompnn,0.5022550030993966,0.5342207471520941,1.0006341938102998,0.36378531576181494,0.3996271797533085,1.268374721815179
44,mutatex_rosetta_ddgun_seq_ddgun_3d,0.48794656841647877,0.4999857079183275,1.0213126048474948,0.32101769960446885,0.359636473202298,1.2726471159638553
45,mutatex_rosetta_ddgun_seq_thermompnn,0.5127592711469641,0.536878454766182,0.9695034000544662,0.3574243308660008,0.3961019637186766,1.219831513554217
46,mutatex_rosetta_ddgun_3d_thermompnn,0.5170253480163842,0.5425601777628598,0.9577002859477124,0.36185209582772215,0.400463229825894,1.2006108960843374
47,mutatex_rasp_ddgun_seq_ddgun_3d,0.4732797340486503,0.4896114813675516,1.0358174470246753,0.30823620303992866,0.36270833005852265,1.280690844067794
48,mutatex_rasp_ddgun_seq_thermompnn,0.5015557537132433,0.5300854533641889,0.9812453606281102,0.34872704703468593,0.4010580895362961,1.2248563666474537
49,mutatex_rasp_ddgun_3d_thermompnn,0.5057973089792153,0.537074094630537,0.9728615643032046,0.35373128905958484,0.4089252239808391,1.207880053376912
50,mutatex_ddgun_seq_ddgun_3d_thermompnn,0.4926479961911843,0.5230288852249477,0.9935350708061004,0.3225027129979462,0.3879219868465021,1.2235607379518072
51,rosetta_rasp_ddgun_seq_ddgun_3d,0.4558496320091836,0.4756523388436856,1.0452830605399528,0.279607735891732,0.33970604948724464,1.2921400012015245
52,rosetta_rasp_ddgun_seq_thermompnn,0.48646702834964906,0.5186015189716325,0.9860188124102671,0.3222953563675428,0.38270351937049135,1.229045998838434
53,rosetta_rasp_ddgun_3d_thermompnn,0.49055425634039207,0.5234969916865828,0.9763833878880339,0.32793310103236156,0.3863967980300302,1.206068654497657
54,rosetta_ddgun_seq_ddgun_3d_thermompnn,0.4765975332776039,0.5044902935454515,1.0005497263071896,0.29088039886324324,0.3578127067858696,1.2371726280120483
55,rasp_ddgun_seq_ddgun_3d_thermompnn,0.4557933832083775,0.4914615528597758,1.028994791644906,0.2720060161822096,0.3606299282699183,1.2535333554991173
